Status/Delivery Method,Capacity,Seats Taken,Seats Remaining,CRN,Course Code,Course Name,Credits,Class Days,Class Start Time,Class End Time,Class Location,Exam Days,Exam Start Time,Exam End Time,Exam Location,Instructor,Term Length
off campus,20,18,0,13801,ACG 6940,Accounting Internship,3,,,,Off Campus Site TBA TBA,,,,,"Benford, T.",Full Term
on campus,40,1,0,11205,ADV 3008,Principles of Advertising,3,T R,09:00am,10:15am,Lutgert Hall 2208,R,07:30am,09:45am,Lutgert Hall 2208,"Lewis, K.",Full Term
distance learning,20,10,0,14565,ADV 3101,Promotional Writing Strategy,3,,,,Online (Virtual),,,,,"Kennedy, M.",Full Term
on campus,30,17,0,15342,AEB 2950,Southwest Florida Farm Tours,3,F,07:30am,12:50pm,Off Campus Site TBA TBA,F,07:30am,12:50pm,Off site to be announced,"Roka, F.",Session A
on campus,30,8,0,13841,AEB 3133,Principles Agribusiness Mgmt,3,T R,10:30am,11:45am,Sugden Resort &Hospitality Mgt 208,T,10:00am,12:15pm,Sugden Resort &Hospitality Mgt 208,"Magnier, A.",Full Term
closed,30,0,0,13840,AEB 3144,Agribusiness Finance,3,T R,09:00am,10:15am,Sugden Resort &Hospitality Mgt 208,R,07:30am,09:45am,Sugden Resort &Hospitality Mgt 208,"Magnier, A.",Full Term
off campus,10,10,0,14529,AEB 3943,Agribusiness Internship,3,,,,Off Campus Site TBA TBA,,,,,"Roka, F.",Full Term
off campus,5,4,0,15315,AEB 3951,Project in Agribusiness,3,,,,Off Campus Site TBA TBA,,,,,"Roka, F.",Full Term
closed,25,0,1,15431,AMH 2010,U.S. History to 1877,3,,,,Online (Virtual),,,,,"Cioffoletti, D.",Full Term
closed,25,0,0,15432,AMH 2010,U.S. History to 1877,3,,,,Online (Virtual),,,,,"Cioffoletti, D.",Full Term
closed,25,0,0,13363,AMH 2010,U.S. History to 1877,3,,,,Online (Virtual),,,,,"Cioffoletti, D.",Full Term
distance learning,35,16,5,11452,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Cavaliere, C.",Full Term
distance learning,35,34,5,11453,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Cavaliere, C.",Full Term
on campus,35,10,5,13367,AMH 2020,U.S. History Since 1877,3,T R,09:00am,10:15am,Griffin Hall 107,R,07:30am,09:45am,Griffin Hall 107,"Carlson, E.",Full Term
closed,35,0,5,14646,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Lipsey, H.",Full Term
closed,35,0,5,14647,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Lipsey, H.",Full Term
closed,35,0,5,15182,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Satterfield-Price, J.",Full Term
distance learning,35,28,5,11451,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Jones, V.",Full Term
closed,35,0,5,15448,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Drew, D.",Full Term
closed,35,0,5,11441,AMH 2020,U.S. History Since 1877,3,T R,12:00pm,01:15pm,Griffin Hall 172,R,10:00am,12:15pm,Griffin Hall 172,"Rohrer, S.",Full Term
distance learning,35,16,5,11444,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Jones, V.",Full Term
distance learning,35,12,5,15446,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Wellock, T.",Full Term
distance learning,35,2,5,15445,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Satterfield-Price, J.",Full Term
on campus,35,1,5,15442,AMH 2020,U.S. History Since 1877,3,T R,10:30am,11:45am,Griffin Hall 107,T,10:00am,12:15pm,Griffin Hall 213,"Carlson, E.",Full Term
distance learning,35,27,5,15435,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Steinmetz, G.",Full Term
distance learning,30,26,5,15434,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Steinmetz, G.",Full Term
on campus,35,13,5,15433,AMH 2020,U.S. History Since 1877,3,T R,10:30am,11:45am,Marieb Hall 214,T,10:00am,12:15pm,Marieb Hall 214,"Rohrer, S.",Full Term
distance learning,35,31,5,14938,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Davey, F.",Full Term
distance learning,35,30,5,14747,AMH 2020,U.S. History Since 1877,3,,,,Online (Virtual),,,,,"Davey, F.",Full Term
on campus,32,16,0,15441,AMH 3201,Gilded Age & Progressivism,3,T R,01:30pm,02:45pm,Merwin Hall 110,T,12:30pm,02:45pm,Merwin Hall 110,"Carlson, E.",Full Term
closed,32,0,0,15186,AMH 3561,Women in America to 1870,3,T R,09:00am,10:15am,Merwin Hall 110,R,07:30am,09:45am,Merwin Hall 110,"Bouldin, E.",Full Term
on campus,32,9,0,15444,AMH 4634,Florida Environmental History,3,T R,03:00pm,04:15pm,Merwin Hall 103,R,12:30pm,02:45pm,Merwin Hall 103,"Lipsey, H.",Full Term
on campus,15,10,0,14622,AMH 6567,Women in American History,3,T,05:30pm,08:15pm,Merwin Hall 105,T,03:00pm,05:15pm,Merwin Hall 105,"Davey, F.",Full Term
on campus,25,2,5,13425,AML 2020,"Literature & Culture of US, II",3,T R,09:00am,10:15am,Merwin Hall 111,,,,,"Von Cannon, M.",Full Term
closed,30,0,5,15483,AML 3213,Early American Lit & Culture,3,T R,10:30am,11:45am,Merwin Hall 219,T,10:00am,12:15pm,Merwin Hall 219,"Von Cannon, J.",Full Term
closed,25,0,2,14388,AML 4604,Seminar in African-Amer Lit,3,T R,12:00pm,01:15pm,Whitaker Hall 131,R,10:00am,12:15pm,Whitaker Hall 131,"Gras, D.",Full Term
on campus,15,9,5,15499,AML 6508,ST:  Amer Lit & Cult post-1800,3,W,04:30pm,07:15pm,Merwin Hall 203,W,03:00pm,05:15pm,Merwin Hall 203,"Von Cannon, M.",Full Term
off campus,5,5,0,14169,ANG 5525C,Human Osteology,4,T,10:30am,01:15pm,Emerging Technologies Institut 127,,,,,"Walsh-Haney, H.",Full Term
closed,1,0,0,10990,ANG 6740C,Forensic Anthropology,4,R,10:30am,01:15pm,Emerging Technologies Institut 127,,,,,"Walsh-Haney, H.",Full Term
closed,32,0,2,15778,ANS 3440,Animal Nutrition,3,T R,03:00pm,04:15pm,Griffin Hall 109,,,,,"Palmtag, M.",Full Term
closed,50,0,0,11437,ANT 2000,Introduction to Anthropology,3,T R,03:00pm,04:15pm,Seidler Hall 220,,,,,"Stein, M.",Full Term
closed,50,0,2,11438,ANT 2000,Introduction to Anthropology,3,,,,Online (Virtual),,,,,"Stein, M.",Full Term
closed,50,0,5,12148,ANT 2000,Introduction to Anthropology,3,,,,Online (Virtual),,,,,"Wahlberg, K.",Full Term
distance learning,50,1,5,12887,ANT 2000,Introduction to Anthropology,3,,,,Online (Virtual),,,,,"Wahlberg, K.",Full Term
closed,50,0,3,11434,ANT 2100,Introduction to Archaeology,3,,,,Online (Virtual),,,,,"Tetlow, A.",Full Term
closed,25,0,5,11431,ANT 2410,Cultural Anthropology,3,,,,Online (Virtual),,,,,STAFF,Full Term
closed,28,0,0,11429,ANT 2511C,Intro to Physical Anthropology,3,,,,Online (Virtual),,,,,"Rea, R.",Full Term
closed,28,0,0,11430,ANT 2511C,Intro to Physical Anthropology,3,,,,Online (Virtual),,,,,"Rea, R.",Full Term
closed,28,-1,0,15803,ANT 2511C,Intro to Physical Anthropology,3,,,,Online (Virtual),,,,,"Lopez, D.",Full Term
closed,1,0,0,15804,ANT 3016,Archaeological Frauds & Fakes,3,,,,Online (Virtual),,,,,"Lincoln, V.",Full Term
closed,32,0,0,15805,ANT 3142,Old World Archaeology,3,,,,Online (Virtual),,,,,"Tetlow, A.",Full Term
off campus,24,1,5,10989,ANT 3520C,Forensic Anthropology,3,R,01:30pm,04:15pm,Emerging Technologies Institut 127,,,,,"Walsh-Haney, H.",Full Term
closed,24,0,0,10991,ANT 3520C,Forensic Anthropology,3,,,,Online (Virtual),,,,,"Besse, M.",Full Term
distance learning,32,10,0,11422,ANT 3610,Language and Culture,3,,,,Online (Virtual),,,,,"Wahlberg, K.",Session A
off campus,60,60,0,15970,ANT 3942,Museum Internship,3,,,,Off Campus Site TBA TBA,,,,,"Jacobi, J.",Full Term
distance learning,32,8,0,15806,ANT 4184,Archaeology of Death,3,,,,Online (Virtual),,,,,"Lincoln, V.",Full Term
closed,32,0,0,14669,ANT 4462,Medical Anthropology,3,T R,01:30pm,02:15pm,Seidler Hall 116,,,,,"Stein, M.",Full Term
off campus,20,16,0,10992,ANT 4525C,Human Osteology,3,T,01:30pm,04:15pm,Emerging Technologies Institut 127,,,,,"Walsh-Haney, H.",Full Term
distance learning,25,11,0,15809,ANT 4930,ST:Digital Ethnography,3,,,,Online (Virtual),,,,,"Wahlberg, K.",Full Term
on campus,15,4,0,11419,ANT 4931,Senior Seminar in Anthropology,3,W,01:30pm,04:15pm,Merwin Hall 203,,,,,"Stein, M.",Full Term
off campus,60,60,0,15810,ANT 4940,Anthropology Internship,3,,,,Off Campus Site TBA TBA,,,,,"Jacobi, J.",Full Term
closed,15,-2,0,13359,APK 3142C,Anat and Biomech Human Mvmt 2,3,F,12:30pm,02:35pm,Marieb Hall 103,M W,10:30am,11:45am,Seidler Hall 114,"Erickson, M.",Full Term
closed,15,-2,0,13624,APK 3142C,Anat and Biomech Human Mvmt 2,3,F,09:45am,11:45am,Marieb Hall 103,M W,10:30am,11:45am,Seidler Hall 114,"Erickson, M.",Full Term
closed,15,0,0,13354,APK 3142C,Anat and Biomech Human Mvmt 2,3,F,07:30am,09:30am,Marieb Hall 103,M W,10:30am,11:45am,Seidler Hall 114,"Erickson, M.",Full Term
on campus,30,7,0,13565,APK 3312,Pharm & Ergo Aids Sport & HP,2,M,07:30am,09:10am,Griffin Hall 215,,,,,"Craddock, J.",Full Term
on campus,30,6,0,13564,APK 3312,Pharm & Ergo Aids Sport & HP,2,M,07:30am,09:10am,Griffin Hall 215,,,,,"Craddock, J.",Full Term
distance learning,30,6,0,13972,APK 4050,Evidence Based Practice,3,,,,Online (Virtual),,,,,"Craddock, J.",Full Term
distance learning,30,6,0,12742,APK 4050,Evidence Based Practice,3,,,,Online (Virtual),,,,,"Craddock, J.",Full Term
on campus,15,13,0,12890,APK 4138,Hnrs:Methods of RT & Condition,3,M,01:30pm,04:15pm,Edwards Hall 112,,,,,"Bauer, P.",Full Term
closed,35,-10,0,11319,APK 4138,Methods of RT & Conditioning,3,M,01:30pm,04:15pm,Edwards Hall 112,,,,,"Bauer, P.",Full Term
closed,16,0,0,11320,APK 4138L,Method Resistance Training Lab,2,T,08:30am,11:15am,Griffin Hall 170,T,08:30am,11:15am,Marieb Hall 110,"Bauer, P.",Full Term
on campus,17,2,0,13616,APK 4138L,Method ResistTraining Lab,2,W,12:30pm,03:15pm,Griffin Hall 170,W,12:30pm,03:15pm,Marieb Hall 110,"Bauer, P.",Full Term
closed,16,0,0,12740,APK 4138L,Method Resistance Training Lab,2,T,12:30pm,03:15pm,Marieb Hall 110,T,12:30pm,03:15pm,Griffin Hall 170,"Peterson, S.",Full Term
distance learning,27,1,0,11324,APK 4930,PDS II Prep for Entering,2,,,,Online (Virtual),,,,,"Peterson, S.",Full Term
distance learning,27,5,0,11311,APK 4930,PDS II Prep for Entering,2,,,,Online (Virtual),,,,,"Peterson, S.",Full Term
off campus,54,14,0,11323,APK 4948L,Experiential Learning II,5,,,,Off Campus Site TBA TBA,,,,,"Tymczyszyn, B.",Full Term
distance learning,30,5,0,13566,APK 4951,Capstone in Exercise Science,3,,,,Online (Virtual),,,,,"Bauer, P.",Full Term
distance learning,54,32,0,13629,APK 4951,Capstone in Exercise Science,3,,,,Online (Virtual),,,,,STAFF,Full Term
closed,35,0,3,15915,ARH 2000,Art Appreciation,3,,,,Online (Virtual),,,,,"Harley, H.",Full Term
closed,35,0,4,10471,ARH 2000,Art Appreciation,3,,,,Online (Virtual),,,,,"Montoya, C.",Full Term
closed,35,0,5,10457,ARH 2000,Art Appreciation,3,T R,01:30pm,02:45pm,University Library Classroom 443,,,,,"Bouche, A.",Full Term
off campus,35,25,0,14118,ARH 2000,Art Appreciation,3,M T W R,08:03am,08:50am,Bonita Springs High School,,,,,"Rokusek, M.",Full Term
on campus,49,19,5,10458,ARH 2050,History of the Visual Arts I,3,T R,09:00am,10:15am,University Library Classroom 443,,,,,"Bouche, A.",Full Term
distance learning,49,29,0,10455,ARH 2051,History of the Visual Arts II,3,,,,Online (Virtual),,,,,"McShane, M.",Full Term
distance learning,49,29,0,10454,ARH 2051,History of the Visual Arts II,3,,,,Online (Virtual),,,,,"McShane, M.",Full Term
closed,25,0,5,15573,ARH 3200,Medieval Art,3,W,01:30pm,04:15pm,University Library Classroom 443,,,,,"Bouche, A.",Full Term
closed,25,0,0,15578,ARH 3450,Twentieth Century Art,3,T,04:30pm,07:15pm,University Library Classroom 445,,,,,"McShane, M.",Full Term
closed,25,0,0,15916,ARH 4930,ST:History of Photography,3,M,04:30pm,07:15pm,University Library Classroom 443,F,03:00pm,05:15pm,University Library Classroom 443,"Harley, H.",Full Term
on campus,20,12,5,13938,ART 1201,Methods and Concepts I,3,R,01:30pm,04:15pm,Arts Complex 153,,,,,"Paine, M.",Full Term
on campus,20,12,5,10443,ART 1201,Methods and Concepts I,3,W,01:30pm,04:15pm,Arts Complex 153,,,,,"Paine, M.",Full Term
on campus,20,11,5,15037,ART 1203,Methods and Concepts II,3,T,01:30pm,04:15pm,Arts Complex 143,,,,,"Voytek, M.",Full Term
on campus,20,6,5,10448,ART 1203,Methods and Concepts II,3,T,10:30am,01:15pm,Arts Complex 143,,,,,"Voytek, M.",Full Term
on campus,20,12,5,10461,ART 1300,Drawing I,3,M,01:30pm,04:15pm,Arts Complex 156,F,12:30pm,02:45pm,Arts Complex 156,"Hamel, G.",Full Term
on campus,20,8,5,10466,ART 1300,Drawing I,3,T,01:30pm,04:15pm,Arts Complex 156,T,12:30pm,02:45pm,Arts Complex 156,"Hand, J.",Full Term
on campus,20,10,5,11888,ART 1300,Drawing I,3,R,01:30pm,04:15pm,Arts Complex 156,R,12:30pm,02:45pm,Arts Complex 156,"Hand, J.",Full Term
on campus,20,15,5,10460,ART 1300,Drawing I,3,M,10:30am,01:15pm,Arts Complex 156,F,10:00am,12:15pm,Arts Complex 156,"Hamel, G.",Full Term
on campus,20,5,0,10441,ART 1301,Drawing II,3,W,10:30am,01:15pm,Arts Complex 156,,,,,"Owen, A.",Full Term
on campus,20,2,5,10468,ART 2500,Painting I,3,F,10:30am,01:15pm,Arts Complex 153,S,10:00am,12:15pm,Arts Complex 153,"Hand, J.",Full Term
closed,16,0,0,15918,ART 3443,Relief Printmaking,3,M,10:30am,01:15pm,Arts Complex 148,F,10:00am,12:15pm,Arts Complex 148,"Owen, A.",Full Term
on campus,20,6,5,10445,ART 3505,Painting II,3,M,01:30pm,04:15pm,Arts Complex 153,F,12:30pm,02:45pm,Arts Complex 153,"Paine, M.",Full Term
closed,20,0,0,15589,ART 3768,Clay Sculpture,3,T R,02:15pm,04:15pm,Arts Complex 140,R,12:30pm,02:45pm,Arts Complex 140,"Fay, P.",Full Term
closed,20,0,0,14752,ART 3840,Environmental Art,3,R,10:30am,01:15pm,Arts Complex 143,,,,,"Voytek, M.",Full Term
on campus,16,4,0,15587,ART 4923,Printmaking Workshop,3,T,10:30am,01:15pm,Arts Complex 148,T,10:00am,12:15pm,Arts Complex 148,"Owen, A.",Full Term
on campus,14,6,0,15576,ART 4930,ST:Sculpture II,3,F,01:30pm,04:15pm,Arts Complex 143,,,,,"Hughart, S.",Full Term
off campus,6,6,0,11890,ART 4940,Art Internship,1,,,,Off Campus Site TBA TBA,,,,,"Fay, P.",Full Term
on campus,12,4,0,10452,ART 4955,Senior Project,3,M,04:30pm,07:15pm,Arts Complex 148,,,,,"Fay, P.",Full Term
on campus,30,13,0,11793,ASL 2150,Interm American Sign Language,3,W,05:30pm,08:15pm,Merwin Hall 124,,,,,"Hamstra, C.",Full Term
on campus,30,13,0,11794,ASL 2150L,Interm American Lang. Lab,1,R,05:30pm,08:15pm,Merwin Hall 124,,,,,"Hamstra, C.",Full Term
closed,64,0,3,10097,AST 2002C,Introduction to Space Science,3,T R,04:30pm,05:45pm,Online (Virtual),T,03:00pm,05:15pm,Online (Virtual),"Fauerbach, M.",Full Term
on campus,12,9,0,13928,AST 3211,Essentials of Astrophysics,3,M W F,07:30am,08:20am,Griffin Hall 267,W,07:30am,09:45am,Griffin Hall 267,"Watanabe, K.",Full Term
closed,24,0,0,10028,BCH 3023C,Biochemistry,3,M W,10:30am,12:45pm,Whitaker Hall 244,F,07:30am,09:45am,Whitaker Hall 244,"Wagle, D.",Full Term
closed,24,0,0,10026,BCH 3023C,Biochemistry,3,M W,01:00pm,03:15pm,Whitaker Hall 244,W,10:00am,12:15pm,Whitaker Hall 244,"Wagle, D.",Full Term
closed,24,0,0,15420,BCH 3023C,Biochemistry,3,T R,01:00pm,03:15pm,Whitaker Hall 244,T,12:30pm,02:45pm,Whitaker Hall 244,"Lambrecht, D.",Full Term
on campus,24,4,0,15423,BCH 3025C,Analytical Biochemistry,3,T R,10:30am,12:45pm,Whitaker Hall 244,T,10:00am,12:15pm,Whitaker Hall 244,"Brown, D.",Full Term
on campus,24,16,0,15396,BCH 4034,Advanced Biochemistry II,3,T R,09:00am,10:15am,Whitaker Hall 244,R,07:30am,09:45am,Whitaker Hall 244,"Brown, D.",Full Term
on campus,24,17,0,15397,BCH 4034L,Advanced Biochemistry II Lab,1,F,10:30am,01:15pm,Whitaker Hall 244,,,,,"Brown, D.",Full Term
on campus,40,1,5,13698,BCN 1210C,Construction Materials,4,R,07:30am,11:15am,Holmes Engineering 147,R,07:30am,11:15am,Holmes Engineering 100,"Shaheen, E.",Full Term
on campus,40,7,5,13697,BCN 1210C,Construction Materials,4,T,07:30am,11:15am,Holmes Engineering 147,T,07:30am,11:15am,Holmes Engineering 100,"Wao, J.",Full Term
closed,40,0,0,14808,BCN 1251C,Construction Drawing,3,R,01:30pm,04:15pm,Holmes Engineering 433,,,,,"Figueiredo Muller, M.",Full Term
on campus,30,12,0,15492,BCN 2405C,Construction Mechanics,3,T R,10:30am,11:45am,Holmes Engineering 302,,,,,"Afifi, M.",Full Term
on campus,35,4,0,15464,BCN 3218C,Construction Materials II,3,F,01:30pm,04:15pm,Holmes Engineering 142,F,01:30pm,04:15pm,Holmes Engineering 147,"Bao, J.",Full Term
closed,35,0,5,13633,BCN 3218C,Construction Materials II,3,M,01:30pm,04:15pm,Holmes Engineering 142,M,01:30pm,04:15pm,Holmes Engineering 147,"Chau, A.",Full Term
on campus,35,2,5,13634,BCN 3218C,Construction Materials II,3,W,01:30pm,04:15pm,Holmes Engineering 147,W,01:30pm,04:15pm,Holmes Engineering 142,"Shaheen, E.",Full Term
on campus,15,15,0,15496,BCN 3240C,Construction Methods and Equip,3,T R,04:30pm,05:45pm,Holmes Engineering 147,,,,,"Afifi, M.",Full Term
on campus,45,4,5,13700,BCN 3255,Graphic Communication in Const,3,F,07:30am,10:15am,Holmes Engineering 402,,,,,"Tayeh, A.",Full Term
